rank,title,genre,platforms,release_date,developer,publisher,description
14,The Last of Us,Action,"['PlayStation 3', 'PlayStation 4', 'PlayStation 5', 'PC']",2013-06-14,Naughty Dog,Sony Computer Entertainment,"The Last of Us is a story-driven action-adventure game set in a post-apocalyptic United States devastated by a fungal infection that turns people into aggressive infected. Players follow Joel, a hardened survivor, and Ellie, a teenage girl who may hold the key to humanity’s future, as they journey across dangerous territory and form a deeply personal bond. The game blends stealth, exploration, resource scavenging, and tense combat, emphasizing survival and emotional storytelling. Originally released for PlayStation 3, it became one of the most acclaimed games of its generation and was later remastered and re-released for newer PlayStation platforms and PC."
15,The Last of Us Remastered,Action,"['PlayStation 4', 'PlayStation 5']",2014-07-29,Naughty Dog,Sony Computer Entertainment,"The Last of Us Remastered is an enhanced version of Naughty Dog’s critically acclaimed post-apocalyptic action-adventure game. Set in a world devastated by a fungal infection, it follows Joel, a hardened survivor, and Ellie, a teenage girl who may hold the key to humanity’s future, as they journey across the United States. The game blends stealth, exploration, resource management, and tense combat against hostile survivors and infected creatures. This remastered edition includes improved visuals, higher-resolution textures, faster frame rates, and all previously released downloadable content, including the Left Behind story chapter and multiplayer content."
16,The Witcher 3: Wild Hunt - Hearts of Stone,RPG,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2015-10-13,CD Projekt Red,CD Projekt,"Hearts of Stone is the first major expansion for The Witcher 3: Wild Hunt, adding a new story centered on Geralt of Rivia and the enigmatic Man of Glass. Set in the lands of Velen and Oxenfurt, the expansion introduces a dark, character-driven questline involving Olgierd von Everec and a deal with supernatural consequences. It expands the game with new main and side quests, challenging enemies, new gear, and additional gameplay systems such as Runewords that modify weapons and armor. Known for its strong writing and memorable choices, Hearts of Stone offers roughly 10 to 15 hours of content and deepens the world and lore of The Witcher universe."
17,Xenoblade Chronicles 2: Nintendo Switch 2 Edition,RPG,['Nintendo Switch 2'],2026-01-16,Monolith Soft,Nintendo,"Xenoblade Chronicles 2: Nintendo Switch 2 Edition is not a separately announced or released official version of Xenoblade Chronicles 2 as of my latest knowledge. The original Xenoblade Chronicles 2 is a massive Japanese-style role-playing game set in the Cloud Sea, where the protagonist Rex and his companion Pyra journey across the titanic living world of Alrest in search of Elysium. The game features real-time combat with Blade companions, a broad open-world structure, party-based progression, and a sweeping story centered on exploration, alliances, and the conflict between nations and powerful beings. If this title is intended to refer to a hypothetical enhanced edition for Nintendo Switch 2, no verified public release details are available."
18,Warcraft III: Reign of Chaos,RTS,['PC'],2002-07-03,Blizzard Entertainment,Blizzard Entertainment,"Warcraft III: Reign of Chaos is a fantasy real-time strategy game set in the Warcraft universe. Players command one of four factions—the Humans, Orcs, Undead, or Night Elves—while managing resources, building bases, and leading armies across a story-driven campaign. It introduced hero units that level up during battle, adding role-playing elements to classic RTS gameplay. The game is known for its cinematic presentation, memorable characters, and the foundation it laid for the later mod and custom map scene, including Defense of the Ancients."
19,StarCraft: Brood War,RTS,['PC'],1998-11-30,Blizzard Entertainment,Blizzard Entertainment,"StarCraft: Brood War is the official expansion to Blizzard Entertainment's classic real-time strategy game StarCraft. Released in 1998, it adds new units, campaign missions, and story content for the Terran, Protoss, and Zerg factions, continuing the conflict across the Koprulu Sector. The expansion is widely praised for its balanced multiplayer design, deep strategic gameplay, and influential competitive scene. Brood War became a landmark title in esports, especially in South Korea, and is still celebrated as one of the greatest RTS games ever made."
20,Age of Empires II: The Conquerors Expansion,RTS,['PC'],2000-08-24,Ensemble Studios,Microsoft Game Studios,"Age of Empires II: The Conquerors Expansion is an expansion pack for the real-time strategy game Age of Empires II: The Age of Kings. It adds five new civilizations, four new campaigns, additional units, new technologies, and gameplay improvements. The expansion introduced notable features such as the Hispaniola, Aztec, Mongol, Saladin, and Attila the Hun campaigns, alongside new civilizations including the Aztecs, Huns, Koreans, Mayans, and Spanish. It also added the ability to create garrisoned formations, set rally points for town centers and castles, and included balance changes that refined the base game's strategic depth. Widely regarded as one of the most influential RTS expansions, it remains a classic among strategy fans."
21,The Legend of Zelda: Ocarina of Time,Adventure,"['Nintendo 64', 'GameCube', 'Wii', 'Wii U', 'Nintendo 3DS']",1998-11-21,Nintendo EAD,Nintendo,"The Legend of Zelda: Ocarina of Time is an action-adventure game in which players control Link on a quest to stop Ganondorf from obtaining the Triforce and plunging Hyrule into darkness. Set across a richly connected world, the game combines exploration, puzzle-solving, dungeon crawling, and real-time combat. Its time-travel mechanic allows Link to move between childhood and adulthood, changing the world and story events in significant ways. The game is widely celebrated for its innovative Z-targeting combat system, cinematic presentation, memorable dungeons, and influential design that helped define 3D adventure games."
22,Chrono Trigger,RPG,"['Super Nintendo Entertainment System', 'PlayStation', 'Nintendo DS', 'iOS', 'Android', 'PC']",1995-03-11,Square,Square,"Chrono Trigger is a landmark Japanese role-playing game developed by Square. It follows a group of heroes traveling across different eras of history to prevent a global catastrophe and stop the destruction of the world. Known for its time-travel plot, memorable characters, multiple endings, active-time battle system, and art and music by a dream team of creators, the game is widely regarded as one of the greatest RPGs of all time. It blends exploration, turn-based combat, and branching story choices into a highly replayable adventure."
23,Planescape: Torment,RPG,"['PC', 'Mac OS']",1999-04-12,Black Isle Studios,Interplay Entertainment,"Planescape: Torment is a story-driven isometric role-playing game set in the Planescape Dungeons & Dragons universe. Players control the Nameless One, an immortal amnesiac who awakens in the city of Sigil and must uncover the mystery of his past lives while navigating bizarre planar realms, philosophical factions, and morally complex choices. The game is renowned for its deep writing, unconventional combat-light design, and emphasis on dialogue, exploration, and character interaction over traditional combat."
24,Resident Evil 4 (2005),Survival,"['GameCube', 'PlayStation 2', 'Windows', 'Wii']",2005-01-11,Capcom Production Studio 4,Capcom,"Resident Evil 4 is a third-person survival horror game in which Leon S. Kennedy is sent to a remote rural village in Europe to rescue the U.S. president’s daughter, Ashley Graham. The game shifts the series toward more action-focused combat while retaining tension, resource management, and horror elements. Players fight infected villagers and mutated enemies, solve puzzles, upgrade weapons, and protect Ashley through varied environments including villages, castles, and laboratories. It is widely regarded as one of the most influential and acclaimed games of its era."
25,Planescape: Torment,RPG,"['PC', 'Mac OS', 'Linux', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",1999-12-12,Black Isle Studios,Interplay Entertainment,"Planescape: Torment is a story-driven isometric role-playing game set in the Planescape campaign setting of Dungeons & Dragons. Players control the Nameless One, an immortal man awakening in the city of Sigil with no memory of his past and a body covered in mysterious scars. The game emphasizes dialogue, choice, and character interaction over combat, with quests often resolved through conversation, exploration, and creative problem-solving. Its narrative explores identity, mortality, and redemption, and is widely regarded as one of the most acclaimed RPGs ever made."
26,Chrono Trigger,RPG,"['Super Nintendo Entertainment System', 'PlayStation', 'Nintendo DS', 'iOS', 'Android', 'PC']",1995-03-11,Square,Square,"Chrono Trigger is a classic role-playing game developed by Square and originally released for the Super Nintendo Entertainment System. It follows a group of heroes who travel through time to prevent a global catastrophe caused by the monster Lavos. The game is known for its time-travel story, multiple endings, memorable characters, and innovative battle system that combines active-time combat with team-based special attacks. It was created by a celebrated development team including Hironobu Sakaguchi, Yuji Horii, and Akira Toriyama, and is widely regarded as one of the greatest video games of all time."
27,The Legend of Zelda: Ocarina of Time,Adventure,"['Nintendo 64', 'GameCube', 'Wii', 'Wii U', 'Nintendo 3DS']",1998-11-21,Nintendo EAD,Nintendo,"The Legend of Zelda: Ocarina of Time is an action-adventure game that follows Link as he journeys across Hyrule to stop Ganondorf from obtaining the Triforce and plunging the world into darkness. Armed with the Ocarina of Time, Link can manipulate time, solve intricate dungeons, and explore a vast, interconnected world filled with memorable characters, puzzles, and combat. The game introduced Z-targeting, context-sensitive controls, and a cinematic 3D adventure structure that became highly influential on future games. Widely regarded as one of the greatest video games ever made, it blends exploration, dungeon design, and storytelling into a landmark experience for the Nintendo 64."
28,Gothic II: Gold Edition,RPG,['PC'],2003-11-29,Piranha Bytes,Jowood Productions,"Gothic II: Gold Edition is a classic single-player action RPG set in the dark fantasy world of the Gothic series. It includes Gothic II and the Night of the Raven expansion, adding new quests, characters, areas, and a higher level of challenge. Players continue the story of the nameless hero as he rises from humble beginnings, joins factions, explores dangerous open-world regions, and battles humans, beasts, and ancient magical threats. The game is known for its immersive world, difficult combat, faction-based progression, and strong emphasis on exploration and character development."
29,Half-Life 2,Shooter,"['PC', 'Xbox', 'Xbox 360', 'PlayStation 3', 'macOS', 'Linux', 'Android']",2004-11-16,Valve,Valve,"Half-Life 2 is a first-person shooter set in the dystopian City 17, where player Gordon Freeman joins a resistance movement against the alien Combine occupation. Building on the original Half-Life, the game combines fast-paced combat, physics-based puzzles, and atmospheric storytelling with the Source engine's advanced facial animation and realistic environments. Players use the iconic Gravity Gun, a wide arsenal of weapons, and environmental objects to solve problems and fight enemies. Widely praised for its narrative, level design, and technical innovation, Half-Life 2 is considered one of the most influential video games ever made."
30,Grand Theft Auto: San Andreas,Action,"['PlayStation 2', 'Xbox', 'Windows PC', 'Mac OS X', 'Android', 'iOS', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2004-10-26,Rockstar North,Rockstar Games,"Grand Theft Auto: San Andreas is an open-world action game set in the early 1990s in the fictional state of San Andreas, which is based on California and Nevada. Players control Carl ""CJ"" Johnson, who returns to Los Santos after his mother’s death and becomes drawn into gang warfare, corruption, crime, and personal struggle as he tries to rebuild his life and protect his family. The game is known for its huge map, varied missions, character customization, driving and shooting mechanics, and role-playing elements such as stamina, weight, and skill progression. It became one of the most influential and best-selling games of its era."
31,Midnight Club 3: DUB Edition Remix,RPG,"['PlayStation 2', 'Xbox', 'PlayStation Portable']",2006-03-13,Rockstar San Diego,Rockstar Games,"Midnight Club 3: DUB Edition Remix is an arcade-style open-world racing game focused on illegal street racing across large urban environments. Players compete in high-speed races, time trials, and other event types while customizing licensed cars and motorcycles with performance upgrades and visual modifications. Remix expands on Midnight Club 3: DUB Edition with additional vehicles, more music, and extra races and challenges, including content inspired by other entries in the series. The game emphasizes fast, accessible driving, aggressive traffic-dodging, and route memorization, with a strong soundtrack and extensive vehicle roster that includes cars from manufacturers such as Cadillac, Dodge, Mitsubishi, and Nissan. Its multiplayer modes and deep customization helped make it a standout of the genre."
32,God of War II,Action,['PlayStation 2'],2007-03-13,Santa Monica Studio,Sony Computer Entertainment,"God of War II is a hack-and-slash action-adventure game and the sequel to God of War. Players again control Kratos, the Spartan warrior turned God of War, as he is betrayed by Zeus and stripped of his power. Seeking revenge, Kratos embarks on a brutal quest through Greek mythology, battling gods, titans, and monsters while solving environmental puzzles and using a wide range of combat abilities. The game is known for its cinematic presentation, fast-paced combat, large-scale boss fights, and dramatic story."
33,Pokemon HeartGold Version,RPG,['Nintendo DS'],2009-09-12,Game Freak,Nintendo,"Pokémon HeartGold Version is a role-playing game and enhanced remake of Pokémon Gold, originally released for the Game Boy Color. Set in the Johto region, players begin as a young Pokémon Trainer and journey to collect Gym Badges, defeat the Elite Four, and stop the criminal organization Team Rocket. The game features updated graphics, touch-screen support, and the Pokéwalker accessory, which lets players transfer Pokémon and earn experience by walking with the device. HeartGold also includes the ability to have the lead Pokémon follow the player in the overworld, a fan-favorite feature inspired by Pokémon Yellow. After completing the Johto storyline, players can travel to the Kanto region for a second adventure, making it one of the series' largest and most content-rich entries. The game emphasizes exploration, collection, turn-based battles, and trading between versions to complete the Pokédex."
34,Persona 4 Golden,RPG,"['PlayStation Vita', 'PC', 'PlayStation 4', 'Xbox One', 'Xbox Series X|S', 'Nintendo Switch']",2012-06-14,Atlus,Atlus,"Persona 4 Golden is an enhanced version of Persona 4, blending dungeon-crawling RPG combat with life simulation elements. Set in the rural town of Inaba, the story follows a high school student who arrives for a year and becomes involved in investigating a series of mysterious murders linked to the TV World. Players balance everyday school life, friendships, part-time jobs, and social links with turn-based battles, Persona fusion, and exploring randomly generated dungeons. Golden adds new story content, an additional social link, improved visuals, voice work, quality-of-life changes, and new gameplay features, making it one of the most acclaimed entries in the Persona series."
35,The Legend of Zelda: Ocarina of Time 3D,Adventure,['Nintendo 3DS'],2011-06-16,Grezzo,Nintendo,"The Legend of Zelda: Ocarina of Time 3D is a Nintendo 3DS remake of the classic action-adventure game originally released for the Nintendo 64. It follows Link’s journey across the land of Hyrule as he travels through time to stop Ganondorf from obtaining the Triforce and plunging the world into darkness. The remake features enhanced 3D visuals, improved character models and textures, updated touchscreen inventory management, a redesigned boss challenge mode, and refined controls tailored to the 3DS hardware. It preserves the original game’s iconic dungeons, puzzles, and exploration while making the experience more accessible and visually polished for modern players."
36,Baldur's Gate 3,RPG,"['PC', 'PlayStation 5', 'macOS', 'Xbox Series X/S']",2023-08-03,Larian Studios,Larian Studios,"Baldur's Gate 3 is a critically acclaimed party-based role-playing game set in the Dungeons & Dragons universe. Players create a custom character or choose an origin hero, then explore the Forgotten Realms while building a party, making story-altering choices, and engaging in deep tactical turn-based combat. The game features branching quests, extensive companion interactions, and strong replayability through its reactive narrative and multiple outcomes. It is known for its cinematic presentation, freedom of approach, and faithful use of D&D 5th Edition-inspired mechanics."
37,Metal Gear Solid HD Collection,Action,"['PlayStation 3', 'Xbox 360', 'PlayStation Vita']",2011-11-08,Kojima Productions,Konami,"Metal Gear Solid HD Collection is a remastered compilation of classic stealth-action games from Hideo Kojima’s Metal Gear series, updated in high definition for modern consoles. The collection includes Metal Gear Solid 2: Sons of Liberty, Metal Gear Solid 3: Snake Eater, and Metal Gear Solid: Peace Walker, with improved visuals, widescreen support, and updated controls for smoother play. Each game delivers a mix of tactical espionage, cinematic storytelling, and elaborate boss encounters, with players relying on stealth, camouflage, and strategy rather than direct combat. The collection also includes bonus content such as digital comics and achievement support, making it a comprehensive way to experience some of the most acclaimed entries in the franchise."
38,Bloodborne: The Old Hunters,Action,['PlayStation 4'],2015-11-24,FromSoftware,Sony Computer Entertainment,"Bloodborne: The Old Hunters is an expansion for Bloodborne that adds a substantial new chapter to the game’s gothic horror world. Set in the Hunter’s Nightmare, it introduces new areas, weapons, armor, and enemies, along with several challenging boss encounters. The expansion deepens the lore surrounding the hunters who came before and the tragic history tied to the Healing Church and Byrgenwerth. Known for its high difficulty and aggressive combat, The Old Hunters is widely regarded as one of the best DLC expansions of its generation, offering new ways to fight and revealing more of Bloodborne’s unsettling story."
39,The Witcher 3: Wild Hunt,RPG,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X/S']",2015-05-19,CD Projekt Red,CD Projekt,"The Witcher 3: Wild Hunt is an open-world action RPG based on Andrzej Sapkowski’s Witcher novels. Players control Geralt of Rivia, a monster hunter searching for his adopted daughter Ciri while navigating a war-torn world filled with political intrigue, dangerous creatures, and moral choices that shape the story. The game features expansive exploration, real-time combat, alchemy, character progression, and numerous branching quests. It is widely praised for its storytelling, world design, and memorable side content, and it includes major expansions: Hearts of Stone and Blood and Wine."
40,Stellar Blade,Action,"['PlayStation 5', 'PC']",2024-04-26,Shift Up,Sony Interactive Entertainment,"Stellar Blade is a third-person action game set in a post-apocalyptic future where humanity has retreated to a colony in space after Earth is overrun by hostile creatures called the Naytiba. Players control Eve, an elite soldier sent to reclaim the planet, as she battles through ruined cities, hostile environments, and powerful bosses. The game combines fast-paced combat, evasive movement, and precise parries with light exploration, RPG-style progression, and collectible upgrades. Developed by Shift Up, Stellar Blade is known for its striking visual presentation, cinematic style, and demanding combat encounters."
41,Half-Life: Alyx,Shooter,"['PC', 'VR']",2020-03-23,Valve,Valve,"Half-Life: Alyx is a first-person VR shooter set between the events of Half-Life and Half-Life 2. Players control Alyx Vance as she and her father Eli lead a resistance against the alien Combine occupation of Earth. Built from the ground up for virtual reality, the game emphasizes immersive interaction, puzzle-solving, exploration, and combat using realistic physics, gravity gloves, and improvised weapons. It is widely praised for its atmospheric storytelling, technical polish, and innovative VR gameplay, and it helped define modern AAA virtual reality experiences."
42,Ghost of Tsushima,Action,"['PlayStation 4', 'PlayStation 5', 'PC']",2020-07-17,Sucker Punch Productions,Sony Interactive Entertainment,"Ghost of Tsushima is an open-world action-adventure game set during the Mongol invasion of Tsushima Island in 1274. Players control Jin Sakai, a samurai forced to abandon traditional honor-bound combat to become the Ghost, using stealth, deception, and guerrilla tactics to defend his home and people. The game blends cinematic sword combat, exploration, and side quests across a beautifully rendered feudal Japanese landscape. It is known for its striking art direction, wind-guided navigation system, and emotional story about sacrifice, identity, and resistance."
43,Pikmin 2,Adventure,['GameCube'],2004-04-29,Nintendo EAD,Nintendo,"Pikmin 2 is a real-time strategy adventure game in which players guide Captain Olimar and Louie as they explore a mysterious planet to recover treasure for their company’s debt-ridden Hocotate Freight. Building on the original Pikmin, the game expands the formula with two playable leaders, more Pikmin types, underground cave areas, and a stronger emphasis on collecting treasure rather than managing a strict day limit. Players command small plant-like creatures called Pikmin to battle enemies, solve environmental puzzles, and transport objects back to the ship. The game is known for its strategic depth, charming art style, and challenging cave exploration."
44,Rome: Total War,RTS,"['PC', 'iOS', 'Android']",2004-09-22,Creative Assembly,Activision,"Rome: Total War is a real-time strategy and turn-based tactics game set during the rise of the Roman Republic and Empire. Players manage a faction on a strategic campaign map, handling diplomacy, trade, religion, construction, and army movement, while battles are fought in large-scale real-time combat featuring infantry, cavalry, siege weapons, and naval forces. The game is known for its blend of grand strategy and tactical warfare, allowing players to conquer and control territories across the ancient Mediterranean world. It was originally released for PC and later brought to mobile platforms in an enhanced version by Feral Interactive."
45,Super Mario Galaxy,Adventure,['Wii'],2007-11-12,Nintendo EAD Tokyo,Nintendo,"Super Mario Galaxy is a 3D platform adventure game in which Mario travels across a series of small planets and galaxies to rescue Princess Peach from Bowser. The game uses gravity-based movement, allowing players to run around spherical worlds, leap between floating platforms, and explore creative space-themed environments. Mario collects Power Stars by completing platforming challenges, solving light puzzles, and defeating enemies. It introduced motion controls through the Wii Remote, including spin attacks and pointer-based actions. Widely praised for its inventive level design, orchestral music, visuals, and polished gameplay, it is considered one of the best platformers ever made."
46,Phoenix Wright: Ace Attorney - Trials and Tribulations,Adventure,"['Game Boy Advance', 'Nintendo DS', 'Wii', 'iOS', 'Android', 'Nintendo 3DS', 'PC', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",2004-01-23,Capcom,Capcom,"Phoenix Wright: Ace Attorney - Trials and Tribulations is the third main entry in Capcom’s Ace Attorney visual novel adventure series. Players control defense attorney Phoenix Wright as he investigates crime scenes, gathers evidence, and battles eccentric prosecutors in dramatic courtroom trials. The game centers on a set of interconnected cases featuring a deeper look into Phoenix’s past, including the return of key characters such as Mia Fey and the introduction of memorable new rivals and clients. Known for its clever writing, emotional story arcs, and twist-filled mysteries, it builds on the series’ investigation and cross-examination mechanics with a strong focus on character drama and courtroom logic. Originally released in Japan for the Game Boy Advance, it later appeared on Nintendo DS and was subsequently ported to multiple modern platforms in various compilations and remasters."
47,Banjo-Kazooie,Adventure,"['Nintendo 64', 'Xbox 360', 'Xbox One', 'Xbox Series X/S']",1998-06-29,Rare,Nintendo,"Banjo-Kazooie is a 3D platform-adventure game following Banjo, a bear, and Kazooie, a wisecracking bird who lives in his backpack. Together they explore Gruntilda’s lair and a series of colorful worlds, collecting Jiggies, musical notes, and other items to progress through the game. Players solve light puzzles, battle enemies, and unlock new moves as they search to rescue Banjo’s sister Tooty from the witch Gruntilda. Known for its bright art style, clever humor, memorable music, and tightly designed collectathon gameplay, Banjo-Kazooie became one of the defining titles of the Nintendo 64 era."
48,Crash Bandicoot: Warped,Adventure,['PlayStation'],1998-10-31,Naughty Dog,Sony Computer Entertainment,"Crash Bandicoot: Warped is a 3D platform-adventure game in which players guide Crash and Coco through time-traveling stages across prehistoric, ancient Egyptian, medieval, underwater, and futuristic settings. As the third main entry in the series, it expands the formula with varied gameplay styles, including standard platforming, vehicle levels, jet-ski sections, flying stages, and vehicle combat. Players collect Wumpa Fruit, gather power-ups, and defeat enemies and bosses while using new abilities like the double jump and body slam. The game is widely regarded as one of the best titles on the original PlayStation and is known for its polished level design, humor, and replay value."
49,Xenogears,RPG,['PlayStation'],1998-02-11,Square,Square,"Xenogears is a Japanese role-playing game set in a sprawling science-fiction and fantasy world. Players follow Fei Fong Wong as he uncovers his mysterious past while becoming entangled in political conflicts, ancient technology, and a deep story involving religion, identity, and human history. The game features turn-based combat on foot and in giant humanoid mechs called Gears, with an emphasis on combo-based martial arts attacks and strategic resource management. Known for its ambitious narrative, complex themes, and memorable soundtrack, Xenogears is widely regarded as a cult classic of the original PlayStation era."
