id,question,original_answer,generated_answer,relevance,reasoning,generation_input_tokens,generation_output_tokens,generation_cost_usd
15,Why is there a monthly time limit on GeForce NOW memberships?,"We rolled out a 100-hour monthly playtime limit to continue providing exceptional quality and speed — as well as shorter queue times — for Performance and Ultimate members. If members reach the max playtime during a billing month, they can purchase additional premium playtime or continue playing as with a free user experience until playtime is reset on the next billing date.",A 100-hour monthly playtime limit was introduced to continue providing exceptional quality and speed — as well as shorter queue times — for Performance and Ultimate members. Members who reach the max playtime during a billing month can purchase additional premium playtime or continue playing with a free user experience until playtime is reset on the next billing date.,RELEVANT,The generated answer matches the original answer closely and correctly explains the monthly limit and what happens after reaching it. It is complete enough to answer the question.,832,68,0.00276
1,What is GeForce NOW and how does it work?,"GeForce NOW is NVIDIA’s cloud- game streaming service, delivering real-time RTX-powered gameplay straight from the cloud to your laptop, desktop, Mac, Chromebook, SHIELD TV, select Samsung and LG TVs, iPhone, iPad, Android devices, Steam Deck, VR headsets, Linux PC and more. Connect to your favorite game store accounts and stream games you own, or check out hundreds of favorite free-to-play games. With cloud saves for supported games, you can pick up your game where you left off, on any supported device, wherever you are.","GeForce NOW is NVIDIA’s cloud-game streaming service that delivers real-time RTX-powered gameplay straight from the cloud to various devices including laptops, desktops, Macs, Chromebooks, SHIELD TVs, select Samsung and LG TVs, iPhones, iPads, Android devices, Steam Deck, VR headsets, and Linux PCs. You can connect to your favorite game store accounts to stream games you own or play hundreds of free-to-play games. It offers cloud saves for supported games, allowing you to continue your game on any supported device.",RELEVANT,"The generated answer matches the original answer closely and explains what GeForce NOW is and how it works, including cloud streaming, supported devices, game store accounts, free-to-play games, and cloud saves.",800,107,0.00307
3,What does it cost to join GeForce NOW?,"Visit our membership page and choose the plan that best fits your gaming style. GeForce NOW offers three membership options including Performance and Ultimate with instant access to the best available GeForce gaming experience in the cloud. A Free membership is available for those looking to try the service. Day passes are also available for those looking to experience premium benefits, without a monthly commitment.","Visit the GeForce NOW membership page to choose from three options: Free, Performance, and Ultimate. There is also an option for Day passes for those who want premium benefits without a monthly commitment.",RELEVANT,"The generated answer matches the original answer’s content by listing the available GeForce NOW membership options, including Free, Performance, Ultimate, and Day passes. It correctly addresses the question about the cost to join by implying the plans available, though it omits some descriptive details.",889,40,0.0026225
46,Can the Founders discount be combined with other promotions when upgrading to Ultimate?,"To thank Founders, we are offering a special Founders-only discount rate when they upgrade to the new GeForce NOW Ultimate membership. This discount rate is 10% and reflected in the price shown in your account. This offer may not be combined with other promos or discounts.","No, the Founders discount cannot be combined with other promotions or discounts when upgrading to the Ultimate membership.",RELEVANT,The generated answer matches the original answer: it states that the Founders discount cannot be combined with other promotions or discounts when upgrading to Ultimate.,833,22,0.0023025
39,What network setup is recommended for the best GeForce NOW Ultimate streaming quality?,"GeForce NOW recommends at least 65Mbps for streaming up to 5120x2180p at 120 fps, 55Mbps for 2560x1440p at 240 FPS for most iMacs or 2560x1600p at 240 FPS for most MacBooks, 48Mbps for 1920x1080 at 360 FPS, 45Mbps for streaming up to 4K at 120 FPS, and 25 Mbps for FHD resolutions at 60 FPS. And for the new Cinematic Quality Streaming mode, we recommend 100 Mbps for the best quality. We also recommend a hardwired Ethernet connection, or a 5GHz wireless router. Please visit the System Requirements page for specific device compatibility, hardware recommendations and details on supported regions. You can also read this knowledge base article for more details on how to set up your device for your GeForce NOW Ultimate membership.","For the best GeForce NOW Ultimate streaming quality, it is recommended to have at least a 100 Mbps internet connection for Cinematic Quality Streaming. Additionally, a hardwired Ethernet connection or a 5GHz wireless router is recommended.",RELEVANT,"The generated answer matches the original answer’s key recommendation for best quality: 100 Mbps for Cinematic Quality Streaming, plus a hardwired Ethernet or 5GHz Wi‑Fi setup. It is concise but correct and consistent.",900,47,0.00272
81,Can I play GeForce NOW games with a controller?,"Yes, you can use the SHIELD controller to play games on GeForce NOW. Please check our system requirements for a complete list of supported peripherals.","Yes, you can play GeForce NOW games with a controller.",RELEVANT,"The generated answer correctly answers the question in the same way as the original: it confirms that a controller can be used with GeForce NOW. It is shorter and omits the specific SHIELD controller and mention of supported peripherals, but it remains consistent and sufficient.",630,14,0.001715
79,What should I do if I need technical support on GeForce NOW?,You can contact our customer care team or browse our support articles .,You can contact the customer care team or browse the support articles for technical support on GeForce NOW.,RELEVANT,"The generated answer matches the original answer in substance, stating that technical support can be obtained by contacting customer care or browsing support articles.",538,21,0.001555
82,Can I connect Bluetooth keyboard and mouse to SHIELD for GeForce NOW?,"Yes, you can connect a USB or Bluetooth keyboard or mouse to a SHIELD to play games on GeForce NOW.","Yes, you can connect a Bluetooth keyboard and mouse to a SHIELD to play games on GeForce NOW.",RELEVANT,The generated answer matches the original answer’s meaning and correctly states that Bluetooth keyboard and mouse can be connected to SHIELD for GeForce NOW.,717,23,0.0020225
31,Will I see ads while waiting for a server in GeForce NOW?,"No, ads will only appear before the start of a gaming session while a server is being located and ensures an uninterrupted experience once the game starts. Ads will only run for up to two minutes, regardless of queue time.","Yes, as a free user, you'll see video ads after selecting a game and before starting a gaming session while a server is being located.",RELEVANT,"The generated answer matches the original answer’s main point: ads can appear before the gaming session starts while a server is being located. It is consistent, though it omits the detail that ads are capped at up to two minutes regardless of queue time.",588,29,0.00176
14,Where can I check when my monthly playtime resets?,"Playtime resets every month. You can check your exact reset date anytime in your Account Portal . If you reach your max playtime within the month, you can purchase additional playtime hours to keep playing with all your premium benefits. Additional playtime can be purchased directly within your Account Portal. Or continue playing with access to basic rigs and no access to other premium member benefits until your playtime resets. Starting April 30, 2026, premium members will still have access to Install-to-Play games even if they haven’t purchased additional playtime.",You can check your exact playtime reset date anytime in your Account Portal.,RELEVANT,"The generated answer directly addresses where to check the monthly playtime reset date, matching the original answer’s core information.",770,16,0.002085
40,Which devices can use GeForce NOW Ultimate membership features?,"You can read this knowledge base article for more details on which Ultimate features are supported on each device. All Ultimate members on any supported devices have first access to GeForce RTX 5080 gaming rigs, delivering the highest level of performance and lowest latency experience for most games. GeForce NOW Ultimate members also get the longest session lengths and fastest access to these servers.",I don't know.,NON_RELEVANT,The generated answer does not answer the question and provides no information about which devices can use GeForce NOW Ultimate membership features.,803,5,0.0020575
4,What kinds of games are included with GeForce NOW?,"GeForce NOW supports two types of games to give you the widest choice of titles possible, with an expansive cloud gaming library of over 4,500 games. Ready-to-Play games are available to stream instantly and always kept up to date. They’re tested for a seamless experience. In addition, premium members have access to Install-to-Play games, which they can install, download and play thousands of additional Steam games that have opted-in to Steam Cloud Gaming by the game publisher, with more to be added each week. Learn more about Install-to-Play , or visit the GeForce NOW games page to see which games are currently available.","GeForce NOW supports a wide range of games, offering an expansive cloud gaming library of over 4,500 games. It includes Ready-to-Play games that can be streamed instantly and are always kept up to date, as well as Install-to-Play games for premium members, which can be installed and played from thousands of additional Steam games opted-in to Steam Cloud Gaming.",RELEVANT,"The generated answer matches the original answer’s key points: GeForce NOW includes Ready-to-Play games and Install-to-Play games for premium members, along with the broad library context.",956,76,0.00315
89,Does GeForce NOW work on my Chromebook?,We support a number of Chromebooks. The full list of compatible devices is available on the system requirements page.,"Yes, GeForce NOW works on Chromebooks. You can check the full list of compatible devices on the system requirements page.",RELEVANT,The generated answer matches the original answer’s meaning: it confirms Chromebook support and points to the system requirements page for the compatible device list.,682,26,0.001965
97,Can I install GeForce NOW on iOS without opening Safari first?,No. At this time please enjoy GeForce NOW on iPhone and iPad by launching Safari and visiting https://play.geforcenow.com . Follow the instruction prompt to set up GeForce NOW to play: 1. Tap the ‘Share’ button on the tool bar. 2. Select ‘Add to Home Screen’ from the menu. 3. Launch GeForce NOW from your home screen.,I don't know.,NON_RELEVANT,"The generated answer does not answer the question and conflicts with the original answer, which clearly says GeForce NOW on iOS must be launched through Safari first and then added to the home screen.",692,5,0.00178
97,Can I download an iOS or iPadOS app for GeForce NOW instead of using Safari?,No. At this time please enjoy GeForce NOW on iPhone and iPad by launching Safari and visiting https://play.geforcenow.com . Follow the instruction prompt to set up GeForce NOW to play: 1. Tap the ‘Share’ button on the tool bar. 2. Select ‘Add to Home Screen’ from the menu. 3. Launch GeForce NOW from your home screen.,"No. At this time, you need to use Safari to access GeForce NOW on iPhone and iPad.",RELEVANT,The generated answer matches the original answer’s main point: there is no iOS/iPadOS app to download and GeForce NOW should be accessed through Safari.,649,24,0.0018625
